Source,Description,ID,Units,Analyzed timeframe ,Link,Data access
Latitude,Latitude,Latitude,degrees,NA,http://1001genomes.org/accessions.html,NA
Longitude,Longitude,Longitude,degrees,NA,http://1001genomes.org/accessions.html,NA
Measurements of Pollution In The Troposphere (MOPITT),MOPITT Carbon monoxide spring,CO Spring,ppbv,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOP_CO_M,15-Feb-17
Measurements of Pollution In The Troposphere (MOPITT),MOPITT Carbon monoxide summer,CO Summer,ppbv,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOP_CO_M,15-Feb-17
Ozone Monitoring Instrument (OMI),OMI Nitrogen dioxide spring,NO2 Spring,billion molecules/mm2,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_NO2_M,17-Feb-17
Ozone Monitoring Instrument (OMI),OMI Nitrogen dioxide summer,NO2 Summer,billion molecules/mm2,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_NO2_M,17-Feb-17
Ozone Monitoring Instrument (OMI),OMI Ozone spring,O3 Spring,Dobson Units,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_OZONE_M,15-Feb-17
Ozone Monitoring Instrument (OMI),OMI Ozone summer,O3 Summer,Dobson Units,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_OZONE_M,15-Feb-17
SiB3 Modeled Global 1-degree Hourly Biosphere-Atmosphere Carbon Flux,SIB3 carbon flux spring,SIB3 carbon flux spring,mol/m2/seg,1998-2006,https://webmap.ornl.gov/wcsdown/wcsdown.jsp?dg_id=909_132,21-Nov-16
SiB3 Modeled Global 1-degree Hourly Biosphere-Atmosphere Carbon Flux,SIB3 carbon flux summer,SIB3 carbon flux summer,mol/m2/seg,1998-2006,https://webmap.ornl.gov/wcsdown/wcsdown.jsp?dg_id=909_132,21-Nov-16
Ozone Monitoring Instrument (OMI),OMI UV index spring,UV Spring,NASA Earth Observations,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_UVI_CLIM_M,16-Feb-17
Ozone Monitoring Instrument (OMI),OMI UV index summer,UV Summer,NASA Earth Observations,2004-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_UVI_CLIM_M,16-Feb-17
Clouds and Earth's Radiant Energy System (CERES),CERES Solar insolation spring,Solar insolation spring,W/m2,2006-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_INSOL_M,18-Feb-17
Clouds and Earth's Radiant Energy System (CERES),CERES Solar insolation summer,Solar insolation summer,W/m2,2006-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_INSOL_M,18-Feb-17
FLASHFlux,FLASHFlux Net radiation spring,Net radiation spring,W/m2,2006-2011,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_NETFLUX_M,15-Feb-17
FLASHFlux,FLASHFlux Net radiation summer,Net radiation summer,W/m2,2006-2011,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=CERES_NETFLUX_M,15-Feb-17
Gravity Recovery and Climate Experiment (GRACE),GRACE Water equivalent anomaly spring,Water eq. anomaly Spring,cm,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=GRACE_LWE_M,21-Nov-16
Gravity Recovery and Climate Experiment (GRACE),GRACE Water equivalent anomaly summer,Water eq. anomaly Summer,cm,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=GRACE_LWE_M,21-Nov-16
Tropical Rainfall Monitoring Mission (TRMM),TRMM Rainfall spring,Rainfall spring,mm,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=TRMM_3B43M,15-Feb-17
Tropical Rainfall Monitoring Mission (TRMM),TRMM Rainfall summer,Rainfall summer,mm,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=TRMM_3B43M,15-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD05L2,MOD05L2 Total precipitable water (water vapor) spring,Precipitable water spring,cm,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MYDAL2_M_SKY_WV,15-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD05L2,MOD05L2 Total precipitable water (water vapor) summer,Precipitable water summer,cm,2002-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MYDAL2_M_SKY_WV,15-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land surface day temperature spring,LTemp day spring,Celsius,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTD_CLIM_M,16-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land surface day temperature summer,LTemp day summer,Celsius,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTD_CLIM_M,16-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land surface night temperature spring,Ltemp  night spring,Celsius,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTN_CLIM_M,16-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land Surface night temperature summer,LTemp night summer,Celsius,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_LSTN_CLIM_M,16-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD13Q1,MOD13Q1 Normalized difference vegetation index spring,NDVI Spring,Index,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_NDVI_M,1-Feb-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD13Q1,MOD13Q1 Normalized difference vegetation index summer,NDVI Summer,Index,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD_NDVI_M,1-Feb-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD15A2,MOD16A2 Leaf area index during spring,LAI Spring,m2/m2,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD15A2_M_LAI,16-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD15A2,MOD16A2 Leaf area index during summer,LAI Summer,m2/m2,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD15A2_M_LAI,16-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Global potential evapotranspiration (PET),PET,mm/yr,2000-2006,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/,1-Feb-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Global evapotranspiration (ET),ET,mm/yr,2000-2006,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/,1-Feb-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Global latent heat flux (LE),LE,W/m2,2000-2006,http://files.ntsg.umt.edu/data/NTSG_Products/MOD16/,1-Feb-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Aridity index ,Aridity index,Index,2001-2013,https://vdeblauwe.wordpress.com/download/,6-Apr-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Climatic water deficity ,Climatic water deficity,mm/yr,2001-2013,https://vdeblauwe.wordpress.com/download/,6-Mar-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Number of dry months,Number of dry months,days,2001-2013,https://vdeblauwe.wordpress.com/download/,6-Mar-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Gross primary productivity spring,GPP Spring,gC/m2/day,2001-2010,http://files.ntsg.umt.edu/data/NTSG_Products/MOD17/,12-Feb-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Gross primary productivity summer,GPP Summer,gC/m2/day,2001-2010,http://files.ntsg.umt.edu/data/NTSG_Products/MOD17/,12-Feb-16
Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Net primary productivity spring,NPP Spring,gC/m2/day,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN,16-Feb-17
Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Net primary productivity summer,NPP Summer,gC/m2/day,2001-2010,https://neo.sci.gsfc.nasa.gov/view.php?datasetId=MOD17A2_M_PSN,16-Feb-17
GTOPO30,GTOPO30 Topography,Topography,m,1999,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=10003_1,21-Nov-16
NASA Shuttle Radar Topographic Mission (SRTM),SRTM 90m Digital Elevation Database v4.1,SRTM Elevation,m,2008,http://www.cgiar-csi.org/data/srtm-90m-digital-elevation-database-v4-1,2-Dec-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed Brightness Temperature summer,SMT Spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed Brightness Temperature spring,SMT Summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed NDVI spring,SMN Spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed NDVI summer,SMN Summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Temperature Condition Index spring,TCI Spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Temperature Condition Index summer,TCI Summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Condition Index spring,VCI Spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Condition Index summer,VCI Summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Health Index spring,VHI Spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Health Index summer,VHI Summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/,21-Nov-16
The International Satellite Land Surface Climatology Project (ISLSCP II),ISLSCP II CO2 EMISSIONS,CO2 Emissions,C/cm2/sec,1986-1995,https://webmap.ornl.gov/ogc/wcsdown.jsp?dg_id=1021_11,21-Nov-16
WORLD BANK Global Solar Atlas,WORLD BANK Photovoltaic power potential ,WB PVOUT,kWh/kWp,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,9-Jan-17
WORLD BANK Global Solar Atlas,WORLD BANK Global horizontal irradiation,WB GHI ,kWh/m2,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,9-Jan-17
WORLD BANK Global Solar Atlas,WORLD BANK Diffuse horizontal irradiation,WB DIF,kWh/m2,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,9-Jan-17
WORLD BANK Global Solar Atlas,WORLD BANK Global irradiation for optimally tilted surface,WB GTI ,kWh/m2,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,9-Jan-17
WORLD BANK Global Solar Atlas,WORLD BANK Optimum tilt to maximize yearly yield,WB OPTA,degrees,NA,http://globalsolaratlas.info/downloads/world,9-Jan-17
WORLD BANK Global Solar Atlas,WORLD BANK Direct normal irradiation,WB DNI ,kWh/m2,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world,9-Jan-17
WORLD BANK Global Solar Atlas,WORLD BANK Air temperature at 2 m above ground level,WB TEMP ,Celsius,1994-2015 ,http://globalsolaratlas.info/downloads/world,9-Jan-17
WORLD BANK Global Solar Atlas,WORLD BANK Terrain elevation above sea level,WB ELE,meters,NA,http://globalsolaratlas.info/downloads/world,9-Jan-17
GPCC Global Precipitation Climatology Centre  Full Data Reanalysis Version 7,GPCC Precipitation spring,GPCC Spring,mm,1951-2000,ftp://ftp.dwd.de/pub/data/gpcc/html/fulldata_v7_doi_download.html,4-Feb-16
GPCC Global Precipitation Climatology Centre  Full Data Reanalysis Version 7,GPCC Precipitation summer,GPCC Summer,mm,1951-2000,ftp://ftp.dwd.de/pub/data/gpcc/html/fulldata_v7_doi_download.html,4-Feb-16
WorldClim Version2,WorldClim Minimum temperature spring,WC2 Tmin spring,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim Minimum temperature summer,WC2 Tmin summer,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim Maximum temperature spring,WC2 Tmax spring,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim Maximum temperature summer,WC2 Tmax summer,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim average temperature spring,WC2 Tmean spring,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim average temperature summer,WC2 Tmean summer,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim precipitation spring,WC2 Pre spring,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim precipitation summer,WC2 Pre summer,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim solar radiation spring,WC2 Solar rad. Spring,kJ m-2 day-1,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim solar radiation summer,WC2 Solar rad. Summer,kJ m-2 day-1,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim water Vapor Pressure Spring,WC2 Water vap. Spring,kPa,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim water Vapor Pressure Summer,WC2 Water vap. Summer,kPa,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO1 = Annual mean temperature,WC2 BIO1,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO2 = Mean diurnal range,WC2 BIO2,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO3 = Isothermality,WC2 BIO3,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO4 = Temperature seasonality,WC2 BIO4,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO5 = Max temperature of warmest month,WC2 BIO5,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO6 = Min temperature of coldest month,WC2 BIO6,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO7 = Temperature annual range,WC2 BIO7,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO8 = Mean temperature of wettest quarter,WC2 BIO8,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO9 = Mean temperature of driest quarter,WC2 BIO9,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO10 = Mean temperature of warmest quarter,WC2 BIO10,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO11 = Mean temperature of coldest quarter,WC2 BIO11,Celsius,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO12 = Annual precipitation,WC2 BIO12,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO13 = Precipitation of wettest month,WC2 BIO13,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO14 = Precipitation of driest month,WC2 BIO14,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO15 = Precipitation seasonality,WC2 BIO15,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO16 = Precipitation of wettest quarter,WC2 BIO16,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO17 = Precipitation of driest quarter,WC2 BIO17,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClim BIO18 = Precipitation of warmest quarter,WC2 BIO18,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
WorldClim Version2,WorldClimBIO19 = Precipitation of coldest quarter,WC2 BIO19,mm,1970-2000,http://worldclim.org/version2,9-Aug-17
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Minimum temperature spring,CHELSA Tmin spring,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Minimum temperature summer,CHELSA Tmin summer,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Maximum temperature spring,CHELSA Tmax spring,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Maximum temperature summer,CHELSA Tmax summer,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Average temperature spring,CHELSA Tmean spring,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Average temperature summer,CHELSA Tmean summer,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Interannual Temperature ,CHELSA Interann. temp. ,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Precipitation Spring,CHELSA Pre. spring,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Precipitation Summer,CHELSA Pre. summer,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA Interannual precipitation ,CHELSA Interann. pre.,mm,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO1 = Annual mean temperature,CHELSA BIO1,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
CHELSA (Climatologies at high resolution for the earthÕs land surface areas),CHELSA BIO2 = Mean diurnal range,CHELSA BIO2,Celsius,1979-2013,http://chelsa-climate.org/,9-Sep-16
